tipoProducto,codigoDncp,nombre,estado,codigo,mapa,clasificadorProducto,subclasificadorProducto,concentracion,formaFarmaceutica,presentacion,codigoGrupoFarmacologico,nombreGrupoFarmacologico,codigoSubgrupoFarmacologico,nombreSubgrupoFarmacologico,tipoAdquisicion,id
"MEDICAMENTO","","SOLUCION DEXTROSA PARA DIALISIS PERITONEAL","HABILITADO","4271","false","SANGRE Y ORGANOS FORMADORES DE SANGRE","MEDICAMENTO -SUSTITUTOS DE LA SANGRE Y SOLUCIONES PARA PERFUSIÓN","4.25 % _","SOLUCIÓN INYECTABLE","BOLSA DE 2000 ML","B","SANGRE Y ORGANOS FORMADORES DE SANGRE","5","MEDICAMENTO -SUSTITUTOS DE LA SANGRE Y SOLUCIONES PARA PERFUSIÓN","LISTADO BASICO","47824",
"MEDICAMENTO","","SOLUCION FISIOLOGICA (CLORURO DE SODIO)","HABILITADO","4277","false","","","0,9 %","INYECTABLE","FRASCO 100 ML","","","","","DONACION","47825",
"MEDICAMENTO","","TOBRAMICINA","HABILITADO","4289","false","","","5 % _","SOLUCION OFTALMICA","FRASCO GOTERO X 10 ML","","","","","DONACION","47826",
"MEDICAMENTO","","ACICLOVIR","DESHABILITADO","4290","false","","","200 MG __","COMPRIMIDO","CAJA X 25","","","","","DONACION","47827",
"MEDICAMENTO","","BUPIVACAINA CLORHIDRATO","DESHABILITADO","4291","false","","","0,75 MG __","INYECTABLE","AMPOLLA MINIMO DE 20 ML","","","","","DONACION","47828",
"MEDICAMENTO","51102333-001","VALGANCICLOVIR","HABILITADO","4292","false","","","450 MG __","COMPRIMIDO","BLISTER","","","","","DONACION","47829",
"MEDICAMENTO","","ACIDO ACETIL SALICILICO","DESHABILITADO","4294","false","","","81 MG __","COMPRIMIDO","POTE X 500 COMPRIMIDOS","","","","","DONACION","47830",
"MEDICAMENTO","","AMLODIPINA (BESILATO)","DESHABILITADO","4295","false","",""," 5 MG __","COMPRIMIDO","FRASCO X 90 COMPRIMIDOS","","","","","DONACION","47831",
"MEDICAMENTO","","ACEPROMACINA MALEATO","DESHABILITADO","4296","false","","","1 GR _","INYECTABLE","FRASCO 50ML","","","","","DONACION","47832",
"MEDICAMENTO","","ACIDO FOLICO","DESHABILITADO","4297","false","","","10 MG _","COMPRIMIDO","BLISTER X 10","","","","","DONACION","47833",
"MEDICAMENTO","","CALCITRIOL","DESHABILITADO","4300","false","","","0,25 MCGR _","CAPSULA","BLISTER MINIMO X 10","","","","","DONACION","47834",
"MEDICAMENTO","","BENCILPENICILINA BENZATINICA","HABILITADO","4312","false","ANTIINFECCIOSOS PARA USO SISTEMICO","MEDICAMENTO -ANTIBACTERIANOS PARA USO SISTÉMICO","2.400.000 UI __","INYECTABLE","FRASCO AMPOLLA + SOLVENTE","J","ANTIINFECCIOSOS PARA USO SISTEMICO","1","MEDICAMENTO -ANTIBACTERIANOS PARA USO SISTÉMICO","LISTADO BASICO","47835",
"MEDICAMENTO","51101507-003","BENCILPENICILINA SODICA","HABILITADO","4313","false","ANTIINFECCIOSOS PARA USO SISTEMICO","MEDICAMENTO -ANTIBACTERIANOS PARA USO SISTÉMICO","1.000.000 UI __","INYECTABLE","FRASCO AMPOLLA","J","ANTIINFECCIOSOS PARA USO SISTEMICO","1","MEDICAMENTO -ANTIBACTERIANOS PARA USO SISTÉMICO","LISTADO BASICO","47836",
"MEDICAMENTO","","MESNA (MERCAPTO ETILSULFONATO SODICO)","HABILITADO","4323","false","","","200 MG __","INYECTABLE","FRASCO AMPOLLA","","","","","DONACION","47837",
"MEDICAMENTO","","TEMOZOLAMIDA","HABILITADO","4324","false","","","100 MG _","CAPSULA","FRASCO X 5 CAPSULAS","","","","","DONACION","47838",
"MEDICAMENTO","51201502-001","CICLOSPORINA","HABILITADO","4328","false","ANTINEOPLASICOS E INMUNOMODULARES","MEDICAMENTO -INMUNOSUPRESORES","50 MG __","CAPSULA BLANDA","UNIDAD","L","ANTINEOPLASICOS E INMUNOMODULARES","4","MEDICAMENTO -INMUNOSUPRESORES","LISTADO BASICO","47839",
"MEDICAMENTO","","VANCOMICINA","HABILITADO","4329","false","ANTIINFECCIOSOS PARA USO SISTEMICO","MEDICAMENTO -ANTIBACTERIANOS PARA USO SISTÉMICO","1 G __","INYECTABLE","FRASCO AMPOLLA + SOLVENTE","J","ANTIINFECCIOSOS PARA USO SISTEMICO","1","MEDICAMENTO -ANTIBACTERIANOS PARA USO SISTÉMICO","LISTADO BASICO","47840",
"MEDICAMENTO","","ZIDOVUDINA+LAMIVUDINA","DESHABILITADO","4330","false","ANTIINFECCIOSOS PARA USO SISTEMICO","MEDICAMENTO -ANTIVIRALES DE USO SISTÉMICO","300 MG+150 MG __","COMPRIMIDO","CAJA X 60 COMPRIMIDOS","J","ANTIINFECCIOSOS PARA USO SISTEMICO","5","MEDICAMENTO -ANTIVIRALES DE USO SISTÉMICO","LISTADO BASICO","47841",
"MEDICAMENTO","","SOLUCION DE GELATINA CON ELECTROLITOS","HABILITADO","4331","false","","","(EQUIVALENTE A 0,630 G DE  NITROGENO) 350 G + CLORURO DE SODIO 0,850 G + CLORURO DE POTASIO 0,038 G + CLORURO DE CALCIO 0,070 G %","LIQUIDO","FRASCO 100 ML","","","","","DONACION","47842",
"MEDICAMENTO","","IRINOTECAN","HABILITADO","4339","false","","","100 MG _","INYECTABLE","FRASCO AMPOLLA X 5 ML","","","","","DONACION","47843",
"MEDICAMENTO","","ABACAVIR","HABILITADO","4340","false","ANTIINFECCIOSOS PARA USO SISTEMICO","MEDICAMENTO -ANTIVIRALES DE USO SISTÉMICO","300 MG __","COMPRIMIDO","CAJA X 60 COMPRIMIDOS","J","ANTIINFECCIOSOS PARA USO SISTEMICO","5","MEDICAMENTO -ANTIVIRALES DE USO SISTÉMICO","LISTADO BASICO","47844",
"MEDICAMENTO","","ATAZANAVIR","DESHABILITADO","4341","false","","","200 MG __","COMPRIMIDO","FRASCO X 60 COMPRIMIDOS","","","","","DONACION","47845",
"MEDICAMENTO","","ATAZANAVIR","DESHABILITADO","4342","false","","","300 MG __","COMPRIMIDO","FRASCO X 60 COMPRIMIDOS","","","","","DONACION","47846",
"MEDICAMENTO","","ATAZANAVIR","DESHABILITADO","4343","false","","","300 MG __","COMPRIMIDO","FRASCO X 30 COMPRIMIDOS","","","","","DONACION","47847",
"MEDICAMENTO","","CLINDAMICINA CLORHIDRATO","HABILITADO","4344","false","","","150 MG __","COMPRIMIDO","BLISTER X 10","","","","","DONACION","47848",
"MEDICAMENTO","","DIDANOSINA","HABILITADO","4345","false","ANTIINFECCIOSOS PARA USO SISTEMICO","MEDICAMENTO -ANTIVIRALES DE USO SISTÉMICO","400 MG _","COMPRIMIDO","CAJA X 30 COMPRIMIDOS","J","ANTIINFECCIOSOS PARA USO SISTEMICO","5","MEDICAMENTO -ANTIVIRALES DE USO SISTÉMICO","LISTADO BASICO","47849",
"MEDICAMENTO","","ESTAVUDINA","HABILITADO","4347","false","ANTIINFECCIOSOS PARA USO SISTEMICO","MEDICAMENTO -ANTIVIRALES DE USO SISTÉMICO","30 MG __","CAPSULA","CAJA X 60 CAPSULAS","J","ANTIINFECCIOSOS PARA USO SISTEMICO","5","MEDICAMENTO -ANTIVIRALES DE USO SISTÉMICO","LISTADO BASICO","47850",
"MEDICAMENTO","","LAMIVUDINA","HABILITADO","4348","false","ANTIINFECCIOSOS PARA USO SISTEMICO","MEDICAMENTO -ANTIVIRALES DE USO SISTÉMICO","150 MG __","COMPRIMIDO","CAJA X 60 COMPRIMIDOS","J","ANTIINFECCIOSOS PARA USO SISTEMICO","5","MEDICAMENTO -ANTIVIRALES DE USO SISTÉMICO","LISTADO BASICO","47851",
"MEDICAMENTO","","ERITROPOYETINA ALFA","HABILITADO","4349","false","SANGRE Y ORGANOS FORMADORES DE SANGRE","MEDICAMENTO -PREPARADOS ANTIANÉMICOS","4000 UI _","INYECTABLE","JERINGA PRECARGADA","B","SANGRE Y ORGANOS FORMADORES DE SANGRE","3","MEDICAMENTO -PREPARADOS ANTIANÉMICOS","LISTADO BASICO","47852",
"MEDICAMENTO","","ESTAVUDINA","HABILITADO","4350","false","ANTIINFECCIOSOS PARA USO SISTEMICO","MEDICAMENTO -ANTIVIRALES DE USO SISTÉMICO","40 MG __","CAPSULA","FRASCO X 60 COMPRIMIDOS","J","ANTIINFECCIOSOS PARA USO SISTEMICO","5","MEDICAMENTO -ANTIVIRALES DE USO SISTÉMICO","LISTADO BASICO","47853",
"MEDICAMENTO","","EFAVIRENZ","HABILITADO","4351","false","ANTIINFECCIOSOS PARA USO SISTEMICO","MEDICAMENTO -ANTIVIRALES DE USO SISTÉMICO","600 MG __","COMPRIMIDO","FRASCO X 30 COMPRIMIDOS","J","ANTIINFECCIOSOS PARA USO SISTEMICO","5","MEDICAMENTO -ANTIVIRALES DE USO SISTÉMICO","LISTADO BASICO","47854",
"MEDICAMENTO","","TENOFOVIR","HABILITADO","4352","false","ANTIINFECCIOSOS PARA USO SISTEMICO","MEDICAMENTO -ANTIVIRALES DE USO SISTÉMICO","300 MG __","COMPRIMIDO","FRASCO X 30 COMPRIMIDOS","J","ANTIINFECCIOSOS PARA USO SISTEMICO","5","MEDICAMENTO -ANTIVIRALES DE USO SISTÉMICO","LISTADO BASICO","47855",
"MEDICAMENTO","","EMTRICITABINA","HABILITADO","4353","false","ANTIINFECCIOSOS PARA USO SISTEMICO","MEDICAMENTO -ANTIVIRALES DE USO SISTÉMICO","200 MG __","COMPRIMIDO","FRASCO X 30 COMPRIMIDOS","J","ANTIINFECCIOSOS PARA USO SISTEMICO","5","MEDICAMENTO -ANTIVIRALES DE USO SISTÉMICO","LISTADO BASICO","47856",
"MEDICAMENTO","","FLUCONAZOL","HABILITADO","4354","false","","","150 MG __","COMPRIMIDO","BLISTER X 10","","","","","DONACION","47857",
"MEDICAMENTO","","INDINAVIR","HABILITADO","4355","false","","","400 MG _","COMPRIMIDO","FRASCO X 90 COMPRIMIDOS","","","","","DONACION","47858",
"MEDICAMENTO","","LOPINAVIR + RITONAVIR (LOP/RIT)","HABILITADO","4356","false","ANTIINFECCIOSOS PARA USO SISTEMICO","MEDICAMENTO -ANTIVIRALES DE USO SISTÉMICO","200 MG + 50 MG __","COMPRIMIDO","FRASCO X 120 COMPRIMIDO","J","ANTIINFECCIOSOS PARA USO SISTEMICO","5","MEDICAMENTO -ANTIVIRALES DE USO SISTÉMICO","LISTADO BASICO","47859",
"MEDICAMENTO","","NEVIRAPINA","HABILITADO","4357","false","","","200 MG __","COMPRIMIDO","FRASCO X 60 COMPRIMIDOS","","","","","DONACION","47860",
"MEDICAMENTO","","RALTEGRAVIR","HABILITADO","4358","false","ANTIINFECCIOSOS PARA USO SISTEMICO","MEDICAMENTO -ANTIVIRALES DE USO SISTÉMICO","400 MG _","COMPRIMIDO","FRASCO X 60 COMPRIMIDOS","J","ANTIINFECCIOSOS PARA USO SISTEMICO","5","MEDICAMENTO -ANTIVIRALES DE USO SISTÉMICO","LISTADO BASICO","47861",
"MEDICAMENTO","","RITONAVIR","HABILITADO","4359","false","","","100 MG _","COMPRIMIDO","FRASCO X 60 COMPRIMIDOS","","","","","DONACION","47862",
"MEDICAMENTO","","SAQUINAVIR","HABILITADO","4360","false","",""," 500 MG  __","COMPRIMIDO","FRASCO X 120 COMPRIMIDO","","","","","DONACION","47863",
"MEDICAMENTO","51181506-006","INSULINA GLARGINA","HABILITADO","4362","false","TRACTO ALIMENTARIO Y METABOLISMO","MEDICAMENTO -MEDICAMENTOS USADOS EN DIABETES","100 UI/ML __","INYECTABLE","JERINGA PRECARGADA X 3 ML","J","TRACTO ALIMENTARIO Y METABOLISMO","6","MEDICAMENTO -MEDICAMENTOS USADOS EN DIABETES","LISTADO BASICO","47864",
"MEDICAMENTO","","GEMCITABINA","HABILITADO","4363","false","","","200 MG __","INYECTABLE","FRASCO AMPOLLA","","","","","DONACION","47865",
"MEDICAMENTO","","ESPIRONOLACTONA","HABILITADO","4390","false","","","50 MG __","COMPRIMIDO","BLISTER X 10","","","","","DONACION","47866",
"MEDICAMENTO","","SILDENAFIL","HABILITADO","4391","false","","","50 MG __","COMPRIMIDO","BLISTER X 10","","","","","DONACION","47867",
"MEDICAMENTO","","ZIDOVUDINA","HABILITADO","4394","false","","","100 MG _","COMPRIMIDO","FRASCO X 100 COMPRIMIDOS","","","","","DONACION","47868",
"MEDICAMENTO","","CALAMINA + ASOCIACIONES 8","DESHABILITADO","4396","false","","","10 %","NO SE APLICA","FRASCO 60ML","","","","","DONACION","47869",
"MEDICAMENTO","","DEXAMETASONA + GENTAMICINA + MICONAZOL","HABILITADO","4400","false","","","","CREMA","FRASCO X 20 GR","","","","","DONACION","47870",
"MEDICAMENTO","","BENZOCAINA + MENTOL + OXIDO DE ZINC + RESORCINA","DESHABILITADO","4401","false","","","","LOCION","FRASCO 50ML","","","","","DONACION","47871",
"MEDICAMENTO","","BENZOCAINA + MENTOL + OXIDO DE ZINC + RESORCINA","DESHABILITADO","4402","false","","","","LOCION","FRASCO 100 ML","","","","","DONACION","47872",
"MEDICAMENTO","","VALGANCICLOVIR","HABILITADO","4411","false","","","450 MG __","COMPRIMIDO","FRASCO","","","","","DONACION","47873",
"MEDICAMENTO","","VITAMINA B1 B6 B12","HABILITADO","4412","false","","","100-250MG+50-250MG+10MG __","COMPRIMIDO","BLISTER MINIMO X 10","","","","","DONACION","47874",
"MEDICAMENTO","","BUPIVACAINA CLORHIDRATO CON DEXTROSA","DESHABILITADO","4413","false","SISTEMA NERVIOSO","MEDICAMENTO -ANESTÉSICOS","BUPIVACAINA 20 MG + DEXTROSA 320 MG _","INYECTABLE","AMPOLLA X 4 ML","N","SISTEMA NERVIOSO","1","MEDICAMENTO -ANESTÉSICOS","LISTADO BASICO","47875",
"MEDICAMENTO","","PANCREATINA","HABILITADO","4416","false","","","500 MG __","CAPSULA","FRASCO X 100 CAPSULAS","","","","","DONACION","47876",
"MEDICAMENTO","51201504-001","TACROLIMUS","HABILITADO","4423","false","","","1 MG __","COMPRIMIDO","BLISTER X 10","","","","","DONACION","47877",
"MEDICAMENTO","","OLANZAPINA","HABILITADO","4431","false","","","10 MG _","COMPRIMIDO","CAJA X  20 COMPRIMIDOS","","","","","DONACION","47878",
"MEDICAMENTO","","OLANZAPINA","HABILITADO","4436","false","","","10 MG _","COMPRIMIDO","FRASCO X 1000 COMPRIMIDOS","","","","","DONACION","47879",
"MEDICAMENTO","","OLANZAPINA","HABILITADO","4437","false","","","10 MG _","COMPRIMIDO","FRASCO X 30 COMPRIMIDOS","","","","","DONACION","47880",
"MEDICAMENTO","","OLANZAPINA","HABILITADO","4438","false","SISTEMA NERVIOSO","MEDICAMENTO -PSICOLÉPTICOS"," 5 MG __","COMPRIMIDO","FRASCO X 1000 COMPRIMIDOS","N","SISTEMA NERVIOSO","5","MEDICAMENTO -PSICOLÉPTICOS","LISTADO BASICO","47881",
"MEDICAMENTO","","OLANZAPINA","HABILITADO","4439","false","","","2,5 MG _","COMPRIMIDO","FRASCO X 100 COMPRIMIDOS","","","","","DONACION","47882",
"MEDICAMENTO","","OLANZAPINA","HABILITADO","4440","false","","","2,5 MG _","COMPRIMIDO","FRASCO X 1000 COMPRIMIDOS","","","","","DONACION","47883",
"MEDICAMENTO","","OLANZAPINA","HABILITADO","4441","false","SISTEMA NERVIOSO","MEDICAMENTO -PSICOLÉPTICOS"," 5 MG __","COMPRIMIDO","FRASCO X 30 COMPRIMIDOS","N","SISTEMA NERVIOSO","5","MEDICAMENTO -PSICOLÉPTICOS","LISTADO BASICO","47884",
"MEDICAMENTO","","OLANZAPINA","HABILITADO","4442","false","","","2,5 MG _","COMPRIMIDO","FRASCO X 30 COMPRIMIDOS","","","","","DONACION","47885",
"MEDICAMENTO","","RISPERIDONA","HABILITADO","4443","false","","","1 MG __","COMPRIMIDO","FRASCO X 60 COMPRIMIDOS","","","","","DONACION","47886",
"MEDICAMENTO","","RISPERIDONA","HABILITADO","4444","false","","","0,25 MG _","COMPRIMIDO","FRASCO X 60 COMPRIMIDOS","","","","","DONACION","47887",
"MEDICAMENTO","","RISPERIDONA","HABILITADO","4445","false","","","2 MG __","COMPRIMIDO","FRASCO X 60 COMPRIMIDOS","","","","","DONACION","47888",
"MEDICAMENTO","","RISPERIDONA","HABILITADO","4446","false","SISTEMA NERVIOSO","MEDICAMENTO -PSICOLÉPTICOS","3 MG __","COMPRIMIDO","FRASCO X 60 COMPRIMIDOS","N","SISTEMA NERVIOSO","5","MEDICAMENTO -PSICOLÉPTICOS","LISTADO BASICO","47889",
"MEDICAMENTO","","RISPERIDONA","HABILITADO","4447","false","","","4 MG __","COMPRIMIDO","FRASCO X 60 COMPRIMIDOS","","","","","DONACION","47890",
"MEDICAMENTO","","AMLODIPINA (BESILATO)","DESHABILITADO","4450","false","SISTEMA CARDIOVASCULAR","MEDICAMENTO -BLOQUEANTES DE CANALES DE CALCIO","10 MG _","COMPRIMIDO","BLISTER X 20","C","SISTEMA CARDIOVASCULAR","8","MEDICAMENTO -BLOQUEANTES DE CANALES DE CALCIO","LISTADO BASICO","47891",
"MEDICAMENTO","","CARBAMAZEPINA","DESHABILITADO","4452","false","SISTEMA NERVIOSO","MEDICAMENTO -ANTIEPILÉPTICOS","200 MG __","COMPRIMIDO","BLISTER X 20","N","SISTEMA NERVIOSO","3","MEDICAMENTO -ANTIEPILÉPTICOS","LISTADO BASICO","47892",
"MEDICAMENTO","","CELECOXIB","DESHABILITADO","4453","false","","","300 MG __","COMPRIMIDO","CAJA X  20 COMPRIMIDOS","","","","","DONACION","47893",
"MEDICAMENTO","","ACIDO ALENDRONICO (ALENDRONATO)","DESHABILITADO","4454","false","","","70 MG __","LIQUIDO ORAL","AMPOLLA X 100ML","","","","","DONACION","47894",
"MEDICAMENTO","","BISOPROL","DESHABILITADO","4455","false","",""," 5 MG __","COMPRIMIDO","CAJA X 30 COMPRIMIDOS","","","","","DONACION","47895",
"MEDICAMENTO","","CARVEDILOL","DESHABILITADO","4456","false","","","3,125 MG _","COMPRIMIDO","BLISTER X 28","","","","","DONACION","47896",
"MEDICAMENTO","","CARVEDILOL","DESHABILITADO","4457","false","","","50 MG  __","COMPRIMIDO","BLISTER X 28","","","","","DONACION","47897",
"MEDICAMENTO","","CICLOBENZAPRINA","DESHABILITADO","4458","false","","","10 MG _","COMPRIMIDO","BLISTER X 20","","","","","DONACION","47898",
"MEDICAMENTO","","CINTAPRIDA","DESHABILITADO","4459","false","","","1 MG __","COMPRIMIDO","BLISTER X 20","","","","","DONACION","47899",
"MEDICAMENTO","","DINITRATO DE ISOSORBIDE","HABILITADO","4461","false","","","40 MG __","COMPRIMIDO","CAJA X 40","","","","","DONACION","47900",
"MEDICAMENTO","","GABADENTINA","HABILITADO","4462","false","","","400 MG _","COMPRIMIDO","BLISTER X 20","","","","","DONACION","47901",
"MEDICAMENTO","","PIOGLITASONA","HABILITADO","4463","false","","","15 MG __","COMPRIMIDO","BLISTER X 10","","","","","DONACION","47902",
"MEDICAMENTO","","AMITRIPTILINA (CLORHIDRATO)","HABILITADO","4464","false","SISTEMA NERVIOSO","MEDICAMENTO -PSICOANALÉPTICOS","25 MG _","COMPRIMIDO","CAJA X 50","N","SISTEMA NERVIOSO","6","MEDICAMENTO -PSICOANALÉPTICOS","LISTADO BASICO","47903",
"MEDICAMENTO","","MULTIVITAMINAS, MINERALES, PANAX GINSENG Y DIMETILAMINO ETANOL BITARTRATO","HABILITADO","4497","false","","","CONCENTRACION ESTANDAR __","CAPSULA BLANDA","CAJA X 30","","","","","DONACION","47904",
"MEDICAMENTO","","LISINA CLORHIDRATO, LACTATO DE CALCIO PENTAHIDRATO, TIAMINA CLORHIDRATO, RIBOFLAVINA MONOSFATO MONOSODICO, PIRIDOXINA CLORHIDRATO, VIT. D3, VIT. E, NICOTINAMIDA, DEXPANTENOL","HABILITADO","4498","false","","","300 MG+999.90 MG+3 MG+3.50 MG+6MG+400 UI+15 MG+2 MG+10 MG _","JARABE","FRASCO X 200ML","","","","","DONACION","47905",
"MEDICAMENTO","","ETILEFRINA (CLORHIDRATO)","HABILITADO","4499","false","","","5 MG __","COMPRIMIDO","CAJA X 30","","","","","DONACION","47906",
"MEDICAMENTO","","CICLOBENZAPRINA","DESHABILITADO","4500","false","","","10 MG _","COMPRIMIDO","CAJA X 30","","","","","DONACION","47907",
"MEDICAMENTO","","DINITRATO DE ISOSORBIDE","HABILITADO","4501","false","SISTEMA CARDIOVASCULAR","MEDICAMENTO -TERAPIA CARDÍACA"," 5 MG __","COMPRIMIDO","CAJA X 40","C","SISTEMA CARDIOVASCULAR","1","MEDICAMENTO -TERAPIA CARDÍACA","LISTADO BASICO","47908",
"MEDICAMENTO","","KETOTIFENO","HABILITADO","4502","false","","","1 MG/ 5 ML _","JARABE","FRASCO 100 ML","","","","","DONACION","47909",
"MEDICAMENTO","","SULFATO FERROSO  + ACIDO FOLICO + VITAMINA + ASOCIADO","HABILITADO","4504","false","TRACTO ALIMENTARIO Y METABOLISMO","MEDICAMENTO -VITAMINAS","VITAMINA A 1000 UI + VITAMINA B12 3 MCG + AC. FOLICO 0,1 MG + CALCIO 1MG + SULFATO FERROSO 10 MG + MINERALES __","COMPRIMIDO","BLISTER X 10","A","TRACTO ALIMENTARIO Y METABOLISMO","11","MEDICAMENTO -VITAMINAS","LISTADO BASICO","47910",
"MEDICAMENTO","","PARACETAMOL (ACETAMINOFENO)","HABILITADO","4505","false","SISTEMA NERVIOSO","MEDICAMENTO -ANALGÉSICOS","200 MG /5 ML __","LIQUIDO ORAL","FRASCO GOTERO X 15 ML","N","SISTEMA NERVIOSO","2","MEDICAMENTO -ANALGÉSICOS","LISTADO BASICO","47911",
"MEDICAMENTO","","ACICLOVIR","DESHABILITADO","4510","false","","","200 MG/ 125ML _","SUSPENSION","FRASCO","","","","","DONACION","47912",
"MEDICAMENTO","","LOSARTAN + HIDROCLOROTIAZIDA","HABILITADO","4511","false","","","50 MG + 12,5 MG _","COMPRIMIDO","BLISTER","","","","","DONACION","47913",
"MEDICAMENTO","","PALIVIZUMAB","HABILITADO","4512","false","","","100 MG/ML _","INYECTABLE","FRASCO","","","","","DONACION","47914",
"MEDICAMENTO","","RISPERIDONA","HABILITADO","4513","false","","","4 MG __","COMPRIMIDO","BLISTER X 10","","","","","DONACION","47915",
"MEDICAMENTO","","RISPERIDONA","HABILITADO","4514","false","","","2 MG __","COMPRIMIDO","BLISTER X 10","","","","","DONACION","47916",
"MEDICAMENTO","","PARACETAMOL (ACETAMINOFENO)","HABILITADO","4531","false","","","750 MG __","COMPRIMIDO","BLISTER","","","","","DONACION","47917",
"MEDICAMENTO","","DEFERASIROX","HABILITADO","4554","false","","","250 MG __","COMPRIMIDO","BLISTER X 7","","","","","DONACION","47918",
"MEDICAMENTO","","GENFIBROZILO","HABILITADO","4555","false","","","500 MG __","COMPRIMIDO","BLISTER X 10","","","","","DONACION","47919",
"MEDICAMENTO","51101717-002","IVERMECTINA","HABILITADO","4557","false","","","6 MG __","COMPRIMIDO","BLISTER","","","","","DONACION","47920",
"MEDICAMENTO","","AMOXICILINA","DESHABILITADO","4573","false","SISTEMA MUSCULOESQUELETICO","MEDICAMENTO -ANTIINFLAMATORIOS Y ANTIRREUMÁTICOS","1 GR/ 5ML _","SUSPENSION","FRASCO","","SISTEMA MUSCULOESQUELETICO","","MEDICAMENTO -ANTIINFLAMATORIOS Y ANTIRREUMÁTICOS","DONACION","47921",
"MEDICAMENTO","","PARACETAMOL + CLORHIDRATO DE AMANTADINA + CLORHIDRATO PSEUDOEFEDRINA + MALEATO DE CLORFENIRAMINA","HABILITADO","4574","false","SISTEMA NERVIOSO","MEDICAMENTO -ANALGÉSICOS","120 MG + 50 MG + 30 MG + 2 MG _","SUSPENSION","FRASCO","10","SISTEMA NERVIOSO","10","MEDICAMENTO -ANALGÉSICOS","LISTADO BASICO","47922",
"MEDICAMENTO","","ACIDO ASCORBICO (VITAMINA C)","DESHABILITADO","4575","false","MEDICAMENTO -VARIOS","MEDICAMENTO -TODO EL RESTO DE LOS PRODUCTOS TERAPÉUTICOS","100 MG/ML _","SOLUCION","FRASCO","10","MEDICAMENTO -VARIOS","10","MEDICAMENTO -TODO EL RESTO DE LOS PRODUCTOS TERAPÉUTICOS","LISTADO BASICO","47923",
"MEDICAMENTO","","METRONIDAZOL + NISTATINA","HABILITADO","4576","false","","","500 MG + 100.000 U.I _","OVULO","BLISTER","","","","","DONACION","47924",
"MEDICAMENTO","","DICLOFENAC POTASICO","HABILITADO","4577","false","","","75 MG __","COMPRIMIDO","BLISTER","","","","","DONACION","47925",
"MEDICAMENTO","","DICLOFENAC SODICO + DEXAMETASONA + VITAMINA B 12","HABILITADO","4578","false","","","75 MG + 2 MG + 10 MG _","INYECTABLE","AMPOLLA","","","","","DONACION","47926",
"MEDICAMENTO","","EXTRACTO DE GINSENG + VITAMINA A,B1,B2,B6,B12,C,D3 + ACIDO FOLICO + SULFATO FERROSO + SULFATO COBRE + SULFATO MAGNECIO+ CLORURO DE COBALTO + FOSFATO TRICALCICO","HABILITADO","4579","false","","","40 MG + 5000 U.I + 1.5 MG + 1.7 MG + 2 MG + 6 MCG + 60 MG + 550 U.I + 20 MG + 0.4 MG + 5 MG + 90 MG + 2.8 MG + 1.5 MG + 0.1 MG + 136 MG _","COMPRIMIDO","CAJA X 30 COMPRIMIDOS","","","","","DONACION","47927",
"MEDICAMENTO","","INTERFERON BETA","HABILITADO","4584","false","","","6.000.000 UI _","INYECTABLE","JERINGA PRECARGADA","","","","","DONACION","47928",
"MEDICAMENTO","","XILOL PURO","HABILITADO","4596","false","","","","LIQUIDO","FRASCO 1000ML","","","","","DONACION","47929",
"MEDICAMENTO","","GLICERINA LIQUIDA","HABILITADO","4605","false","","","","LIQUIDO","FRASCO 100ML","","","","","DONACION","47930",
"MEDICAMENTO","","FENITOINA (SODICA)","HABILITADO","4606","false","SISTEMA NERVIOSO","MEDICAMENTO -ANTIEPILÉPTICOS","100 MG/5ML __","JARABE","FRASCO","","SISTEMA NERVIOSO","","MEDICAMENTO -ANTIEPILÉPTICOS","DONACION","47931",
"MEDICAMENTO","","MEROPENEM","HABILITADO","4607","false","ANTIINFECCIOSOS PARA USO SISTEMICO","MEDICAMENTO -ANTIBACTERIANOS PARA USO SISTÉMICO","1000 MG __","INYECTABLE","FRASCO AMPOLLA","","ANTIINFECCIOSOS PARA USO SISTEMICO","","MEDICAMENTO -ANTIBACTERIANOS PARA USO SISTÉMICO","DONACION","47932",
"MEDICAMENTO","","PENTOBARBITAL SODICO + DIFENILHIDANTOINA SODICA","HABILITADO","4610","false","","","40 G + 5 G _","INYECTABLE","FRASCO X 15 ML","","","","","DONACION","47933",
"MEDICAMENTO","","TOPIRAMATO","HABILITADO","4614","false","","","25 MG _","COMPRIMIDO","CAJA X 28","","","","","DONACION","47934",
"MEDICAMENTO","","TOPIRAMATO","HABILITADO","4615","false","","","50 MG __","COMPRIMIDO","CAJA X 28","","","","","DONACION","47935",
"MEDICAMENTO","","RIFAMPICINA + ISONIAZIDA + PIRAZINAMIDA + ETHAMBUTOL","HABILITADO","4616","false","","","150 MG + 75 MG + 400 MG + 275 MG _","COMPRIMIDO","BLISTER X 10","","","","","DONACION","47936",
"MEDICAMENTO","","FORMULA COMPLETA PARA RECIEN NACIDO DE BAJO PESO","HABILITADO","4631","false","","","CALORIAS ENTRE 65 Y 67 KCAL, PROTEINAS ENTRE 1,5 Y 2,5 GR / 100 ML, LIPIDOS CON ACIDOS GRASOS POLIINSATURADO DE CADENA LARGA (DHA/ARA) _","POLVO","FRASCO X 400 GR","","","","","DONACION","47937",
